area_code,area_name,population
23230,日進市,91566
23231,田原市,59379
23232,愛西市,60839
23233,清須市,67464
23234,北名古屋市,86447
23235,弥富市,43001
23236,みよし市,61965
23237,あま市,86185
23238,長久手市,60112
23302,東郷町,44128
23342,豊山町,15615
23361,大口町,24262
23362,扶桑町,34136
23424,大治町,32403
23425,蟹江町,37351
23427,飛島村,4580
23441,阿久比町,28400
23442,東浦町,49659
23445,南知多町,16621
23446,美浜町,22491
23447,武豊町,43565
23501,幸田町,42479
23561,設楽町,4445
23562,東栄町,2942
23563,豊根村,1017
24000,三重県,1771440
24201,津市,274759
24202,四日市市,305744
24203,伊勢市,122855
24204,松阪市,159231
24205,桑名市,138671
24207,鈴鹿市,195742
24208,名張市,76414
24209,尾鷲市,16257
24210,亀山市,49878
24211,鳥羽市,17537
24212,熊野市,15966
24214,いなべ市,45000
24215,志摩市,46104
24216,伊賀市,88863
24303,木曽岬町,6020
24324,東員町,25791
24341,菰野町,40571
24343,朝日町,11022
24344,川越町,15131
24441,多気町,14017
24442,明和町,22473
24443,大台町,8675
24461,玉城町,15044
24470,度会町,7852
24471,大紀町,7822
24472,南伊勢町,10979
24543,紀北町,14618
24561,御浜町,8081
24562,紀宝町,10323
25000,滋賀県,1414248
25201,大津市,345202
25202,彦根市,113693
25203,長浜市,113719
25204,近江八幡市,81170
25206,草津市,143958
25207,守山市,83271
25208,栗東市,68879
25209,甲賀市,88417
25210,野洲市,50541
25211,湖南市,54492
25212,高島市,46379
25213,東近江市,112872
25214,米原市,37201
25383,日野町,20975
25384,竜王町,11797
25425,愛荘町,20895
25441,豊郷町,7139
25442,甲良町,6365
25443,多賀町,7283
26000,京都府,2579921
26100,京都市,1464890
26101,京都市北区,117252
26102,京都市上京区,83949
26103,京都市左京区,166254
26104,京都市中京区,110557
26105,京都市東山区,36651
26106,京都市下京区,82811
26107,京都市南区,102034
26108,京都市右京区,202193
26109,京都市伏見区,278131
26110,京都市山科区,135194
26111,京都市西京区,149864
26201,福知山市,77349
26202,舞鶴市,80383
